"filename", "language", "PHP", "Markdown", "JSON", "JavaScript", "MS SQL", "comment", "blank", "total"
"c:\web\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-ar.php", "PHP", 20, 0, 0, 0, 0, 5, 3, 28
"c:\web\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-as.php", "PHP", 28, 0, 0, 0, 0, 5, 3, 36
"c:\web\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-az.php", "PHP", 19, 0, 0, 0, 0, 6, 3, 28
"c:\web\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-ba.php", "PHP", 20, 0, 0, 0, 0, 5, 3, 28
"c:\web\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-be.php", "PHP", 19, 0, 0, 0, 0, 6, 3, 28
"c:\web\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-bg.php", "PHP", 20, 0, 0, 0, 0, 5, 3, 28
"c:\web\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-bn.php", "PHP", 28, 0, 0, 0, 0, 5, 3, 36
"c:\web\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-ca.php", "PHP", 19, 0, 0, 0, 0, 6, 3, 28
"c:\web\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-cs.php", "PHP", 22, 0, 0, 0, 0, 4, 3, 29
"c:\web\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-da.php", "PHP", 27, 0, 0, 0, 0, 7, 3, 37
"c:\web\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-de.php", "PHP", 22, 0, 0, 0, 0, 4, 3, 29
"c:\web\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-el.php", "PHP", 27, 0, 0, 0, 0, 4, 3, 34
"c:\web\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-eo.php", "PHP", 20, 0, 0, 0, 0, 4, 3, 27
"c:\web\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-es.php", "PHP", 27, 0, 0, 0, 0, 7, 3, 37
"c:\web\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-et.php", "PHP", 20, 0, 0, 0, 0, 6, 3, 29
"c:\web\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-fa.php", "PHP", 20, 0, 0, 0, 0, 6, 3, 29
"c:\web\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-fi.php", "PHP", 13, 0, 0, 0, 0, 12, 3, 28
"c:\web\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-fo.php", "PHP", 13, 0, 0, 0, 0, 12, 3, 28
"c:\web\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-fr.php", "PHP", 27, 0, 0, 0, 0, 7, 3, 37
"c:\web\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-gl.php", "PHP", 19, 0, 0, 0, 0, 6, 3, 28
"c:\web\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-he.php", "PHP", 19, 0, 0, 0, 0, 6, 3, 28
"c:\web\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-hi.php", "PHP", 27, 0, 0, 0, 0, 6, 3, 36
"c:\web\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-hr.php", "PHP", 20, 0, 0, 0, 0, 5, 3, 28
"c:\web\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-hu.php", "PHP", 20, 0, 0, 0, 0, 5, 3, 28
"c:\web\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-hy.php", "PHP", 20, 0, 0, 0, 0, 5, 3, 28
"c:\web\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-id.php", "PHP", 22, 0, 0, 0, 0, 7, 3, 32
"c:\web\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-it.php", "PHP", 20, 0, 0, 0, 0, 6, 3, 29
"c:\web\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-ja.php", "PHP", 27, 0, 0, 0, 0, 8, 3, 38
"c:\web\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-ka.php", "PHP", 20, 0, 0, 0, 0, 5, 3, 28
"c:\web\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-ko.php", "PHP", 20, 0, 0, 0, 0, 5, 3, 28
"c:\web\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-ku.php", "PHP", 20, 0, 0, 0, 0, 5, 3, 28
"c:\web\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-lt.php", "PHP", 19, 0, 0, 0, 0, 6, 3, 28
"c:\web\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-lv.php", "PHP", 19, 0, 0, 0, 0, 6, 3, 28
"c:\web\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-mg.php", "PHP", 20, 0, 0, 0, 0, 5, 3, 28
"c:\web\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-mn.php", "PHP", 20, 0, 0, 0, 0, 5, 3, 28
"c:\web\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-ms.php", "PHP", 20, 0, 0, 0, 0, 5, 3, 28
"c:\web\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-nb.php", "PHP", 27, 0, 0, 0, 0, 4, 3, 34
"c:\web\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-nl.php", "PHP", 27, 0, 0, 0, 0, 5, 3, 35
"c:\web\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-pl.php", "PHP", 27, 0, 0, 0, 0, 4, 3, 34
"c:\web\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-pt.php", "PHP", 27, 0, 0, 0, 0, 5, 3, 35
"c:\web\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-pt_br.php", "PHP", 27, 0, 0, 0, 0, 9, 3, 39
"c:\web\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-ro.php", "PHP", 27, 0, 0, 0, 0, 4, 3, 34
"c:\web\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-ru.php", "PHP", 27, 0, 0, 0, 0, 7, 3, 37
"c:\web\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-si.php", "PHP", 27, 0, 0, 0, 0, 5, 3, 35
"c:\web\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-sk.php", "PHP", 22, 0, 0, 0, 0, 6, 3, 31
"c:\web\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-sl.php", "PHP", 27, 0, 0, 0, 0, 7, 3, 37
"c:\web\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-sr.php", "PHP", 20, 0, 0, 0, 0, 6, 3, 29
"c:\web\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-sr_latn.php", "PHP", 20, 0, 0, 0, 0, 6, 3, 29
"c:\web\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-sv.php", "PHP", 19, 0, 0, 0, 0, 6, 3, 28
"c:\web\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-tl.php", "PHP", 20, 0, 0, 0, 0, 6, 3, 29
"c:\web\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-tr.php", "PHP", 27, 0, 0, 0, 0, 9, 3, 39
"c:\web\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-uk.php", "PHP", 20, 0, 0, 0, 0, 6, 3, 29
"c:\web\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-ur.php", "PHP", 23, 0, 0, 0, 0, 5, 3, 31
"c:\web\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-vi.php", "PHP", 19, 0, 0, 0, 0, 6, 3, 28
"c:\web\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-zh.php", "PHP", 20, 0, 0, 0, 0, 7, 3, 30
"c:\web\app2\vendor\phpmailer\phpmailer\language\phpmailer.lang-zh_cn.php", "PHP", 27, 0, 0, 0, 0, 7, 3, 37
"c:\web\app2\vendor\phpmailer\phpmailer\src\DSNConfigurator.php", "PHP", 136, 0, 0, 0, 0, 80, 30, 246
"c:\web\app2\vendor\phpmailer\phpmailer\src\Exception.php", "PHP", 9, 0, 0, 0, 0, 28, 4, 41
"c:\web\app2\vendor\phpmailer\phpmailer\src\OAuth.php", "PHP", 46, 0, 0, 0, 0, 79, 15, 140
"c:\web\app2\vendor\phpmailer\phpmailer\src\OAuthTokenProvider.php", "PHP", 6, 0, 0, 0, 0, 35, 4, 45
"c:\web\app2\vendor\phpmailer\phpmailer\src\PHPMailer.php", "PHP", 2985, 0, 0, 0, 0, 1979, 399, 5363
"c:\web\app2\vendor\phpmailer\phpmailer\src\POP3.php", "PHP", 183, 0, 0, 0, 0, 234, 53, 470
"c:\web\app2\vendor\phpmailer\phpmailer\src\SMTP.php", "PHP", 757, 0, 0, 0, 0, 644, 147, 1548
"Total", "-", 6965, 467, 275, 5053, 19, 4573, 1852, 19204
